time,output,input,setpoint,delta,Flt
2025-07-31 15:12:40.822,60.015384674072266,123.56612396240234,123.56612396240234,-14.650955200195312,60.015357971191406
2025-07-31 15:12:41.828,60.015384674072266,123.57566833496094,123.57566833496094,-14.555511474609375,60.015357971191406
2025-07-31 15:12:42.830,60.015384674072266,123.57837677001953,123.57837677001953,-14.528427124023438,60.015357971191406
2025-07-31 15:12:43.837,60.015384674072266,123.58659362792969,123.58659362792969,-14.446258544921875,60.015357971191406
2025-07-31 15:12:44.831,60.015384674072266,123.56526947021484,123.56526947021484,-14.659500122070312,60.015357971191406
2025-07-31 15:12:45.831,60.015384674072266,123.57998657226562,123.57998657226562,-14.5123291015625,60.015357971191406
2025-07-31 15:12:46.828,60.015384674072266,123.5966567993164,123.5966567993164,-14.345626831054688,60.015357971191406
2025-07-31 15:12:47.836,60.015384674072266,123.55635070800781,123.55635070800781,-14.748687744140625,60.015357971191406
2025-07-31 15:12:48.849,60.015384674072266,123.58039855957031,123.58039855957031,-14.508209228515625,60.015357971191406
2025-07-31 15:12:49.867,60.015384674072266,123.56778717041016,123.56778717041016,-14.634323120117188,60.015357971191406
2025-07-31 15:12:50.888,60.015384674072266,123.54544067382812,123.54544067382812,-14.99786376953125,60.015357971191406
2025-07-31 15:12:51.902,60.015384674072266,123.47515106201172,123.47515106201172,-15.560684204101562,60.015357971191406
2025-07-31 15:12:52.921,60.015384674072266,123.48880767822266,123.48880767822266,-15.424118041992188,60.015357971191406
2025-07-31 15:12:53.912,60.015384674072266,123.47480773925781,123.47480773925781,-15.564117431640625,60.015357971191406
2025-07-31 15:12:54.926,60.015384674072266,123.5165023803711,123.5165023803711,-15.147171020507812,60.015357971191406
2025-07-31 15:12:55.949,60.015384674072266,123.47380828857422,123.47380828857422,-15.574111938476562,60.015357971191406
2025-07-31 15:12:56.940,60.015384674072266,123.47692108154297,123.47692108154297,-15.542984008789062,60.015357971191406
2025-07-31 15:12:57.942,60.015384674072266,123.4688720703125,123.4688720703125,-15.62347412109375,60.015357971191406
2025-07-31 15:12:58.940,60.015384674072266,123.48094940185547,123.48094940185547,-15.502700805664062,60.015357971191406
2025-07-31 15:12:59.939,60.015384674072266,123.48588562011719,123.48588562011719,-15.453338623046875,60.015357971191406
2025-07-31 15:13:00.946,60.015384674072266,123.49909210205078,123.49909210205078,-15.321273803710938,60.015357971191406
2025-07-31 15:13:01.948,60.015384674072266,123.48332214355469,123.48332214355469,-15.478973388671875,60.015357971191406
2025-07-31 15:13:02.943,60.015384674072266,123.51789093017578,123.51789093017578,-15.133285522460938,60.015357971191406
2025-07-31 15:13:03.945,60.015384674072266,123.46730041503906,123.46730041503906,-15.639190673828125,60.015357971191406
2025-07-31 15:13:04.951,60.015384674072266,123.46065521240234,123.46065521240234,-15.705642700195312,60.015357971191406
2025-07-31 15:13:05.939,60.015384674072266,123.50047302246094,123.50047302246094,-15.307464599609375,60.015357971191406
2025-07-31 15:13:06.965,60.015384674072266,123.45246124267578,123.4559097290039,-15.753097534179688,60.015357971191406
2025-07-31 15:13:07.954,60.015384674072266,123.47821044921875,123.47821044921875,-15.512847900390625,60.015357971191406
2025-07-31 15:13:08.955,60.015384674072266,123.42453002929688,123.42453002929688,-15.673675537109375,60.015357971191406
2025-07-31 15:13:09.959,60.015384674072266,123.45326232910156,123.45665740966797,-15.745620727539062,60.015357971191406
2025-07-31 15:13:10.963,60.015384674072266,123.45709991455078,123.42378997802734,-16.074295043945312,60.015357971191406
2025-07-31 15:13:11.968,60.015384674072266,123.41889190673828,123.41889190673828,-16.123275756835938,60.015357971191406
2025-07-31 15:13:12.958,60.015384674072266,123.43080139160156,123.43326568603516,-15.979537963867188,60.015357971191406
2025-07-31 15:13:13.973,60.015384674072266,123.43976593017578,123.43976593017578,-15.914535522460938,60.015357971191406
2025-07-31 15:13:14.980,60.015384674072266,123.45368194580078,123.45368194580078,-15.775375366210938,60.015357971191406
2025-07-31 15:13:15.991,60.015384674072266,123.43733978271484,123.43733978271484,-15.938796997070312,60.015357971191406
2025-07-31 15:13:17.005,60.015384674072266,123.45246124267578,123.45246124267578,-15.787582397460938,60.015357971191406
2025-07-31 15:13:18.019,60.015384674072266,123.39907836914062,123.39907836914062,-16.3214111328125,60.015357971191406
2025-07-31 15:13:19.035,60.015384674072266,123.41508483886719,123.41508483886719,-15.786056518554688,60.015357971191406
2025-07-31 15:13:20.034,60.015384674072266,123.40702056884766,123.40702056884766,-16.22589111328125,60.015357971191406
2025-07-31 15:13:21.054,60.015384674072266,123.41989135742188,123.41989135742188,-16.11328125,60.015357971191406
2025-07-31 15:13:22.071,60.015384674072266,123.40221405029297,123.40221405029297,-16.290054321289062,60.015357971191406
2025-07-31 15:13:23.087,60.015384674072266,123.40800476074219,123.40800476074219,-16.232147216796875,60.015357971191406
2025-07-31 15:13:24.088,60.015384674072266,123.3962631225586,123.3962631225586,-16.349563598632812,60.015357971191406
2025-07-31 15:13:25.108,60.015384674072266,123.41368865966797,123.41368865966797,-16.175308227539062,60.015357971191406
2025-07-31 15:13:26.096,60.015384674072266,123.41100311279297,123.41100311279297,-16.202163696289062,60.015357971191406
2025-07-31 15:13:27.102,60.015384674072266,123.39539337158203,123.39539337158203,-16.358261108398438,60.015357971191406
2025-07-31 15:13:28.115,60.015384674072266,123.35231018066406,123.35231018066406,-16.396331787109375,60.015357971191406
2025-07-31 15:13:29.116,60.015384674072266,123.39588165283203,123.39588165283203,-16.694183349609375,60.015357971191406
2025-07-31 15:13:30.131,60.015384674072266,123.37823486328125,123.37823486328125,-16.52984619140625,60.015357971191406
2025-07-31 15:13:31.138,60.015384674072266,123.37338256835938,123.37338256835938,-16.578369140625,60.015357971191406
2025-07-31 15:13:32.150,60.015384674072266,123.40907287597656,123.40907287597656,-16.221466064453125,60.015357971191406
2025-07-31 15:13:33.146,60.015384674072266,123.36863708496094,123.36863708496094,-16.625823974609375,60.015357971191406
2025-07-31 15:13:34.162,60.015384674072266,123.36856842041016,123.36856842041016,-16.626510620117188,60.015357971191406
2025-07-31 15:13:35.163,60.015384674072266,123.33294677734375,123.33294677734375,-16.98272705078125,60.015357971191406
